sep=,,
WOODMECH_1_SWORD_NAME,Деревянный меч,Wooden Sword [WOOD]
STONEMECH_3_AXE_REINFORCED_DESCRIPTION,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%
STONEMECH_3_AXE_REINFORCED_UNCOMMON_NAME,Улучшенная укрепленная секира,Улучшенная укрепленная секира
STONEMECH_3_AXE_REINFORCED_UNCOMMON_DESCRIPTION,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%
STONEMECH_3_AXE_REINFORCED_EXCELLENT_NAME,Превосходная укрепленная секира,Превосходная укрепленная секира
STONEMECH_3_AXE_REINFORCED_EXCELLENT_DESCRIPTION,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%
STONEMECH_3_AXE_REINFORCED_MYTHICAL_NAME,Мифическая укрепленная секира,Мифическая укрепленная секира
STONEMECH_3_AXE_REINFORCED_MYTHICAL_DESCRIPTION,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%
STONEMECH_3_AXE_REINFORCED_MAGNIFICENT_NAME,Великолепная укрепленная секира,Великолепная укрепленная секира
STONEMECH_3_AXE_REINFORCED_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона./nШанс крита {{critical_chance}}%
STONEMECH_4_AXE_ACID_NAME,Кислотная секира,Кислотная секира
STONEMECH_4_AXE_ACID_DESCRIPTION,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%
STONEMECH_4_AXE_ACID_UNCOMMON_NAME,Улучшенная кислотная секира,Улучшенная кислотная секира
STONEMECH_4_AXE_ACID_UNCOMMON_DESCRIPTION,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%
STONEMECH_4_AXE_ACID_EXCELLENT_NAME,Превосходная кислотная секира,Превосходная кислотная секира
STONEMECH_4_AXE_ACID_EXCELLENT_DESCRIPTION,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%
STONEMECH_4_AXE_ACID_MYTHICAL_NAME,Мифическая кислотная секира,Мифическая кислотная секира
STONEMECH_4_AXE_ACID_MYTHICAL_DESCRIPTION,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%
STONEMECH_4_AXE_ACID_MAGNIFICENT_NAME,Великолепная кислотная секира,Великолепная кислотная секира
STONEMECH_4_AXE_ACID_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} кислотного урона/nШанс крита {{critical_chance}}%
STONEMECH_5_AXE_REINFORCED2_NAME,Сильно укрепленная секира,Сильно укрепленная секира
STONEMECH_5_AXE_REINFORCED2_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_5_AXE_REINFORCED2_UNCOMMON_NAME,Улучшенная сильно укрепленная секира,Улучшенная сильно укрепленная секира
STONEMECH_5_AXE_REINFORCED2_UNCOMMON_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_5_AXE_REINFORCED2_EXCELLENT_NAME,Превосходная сильно укрепленная секира,Превосходная сильно укрепленная секира
STONEMECH_5_AXE_REINFORCED2_EXCELLENT_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_5_AXE_REINFORCED2_MYTHICAL_NAME,Мифическая сильно укрепленная секира,Мифическая сильно укрепленная секира
STONEMECH_5_AXE_REINFORCED2_MYTHICAL_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_5_AXE_REINFORCED2_MAGNIFICENT_NAME,Великолепная сильно укрепленная секира,Великолепная сильно укрепленная секира
STONEMECH_5_AXE_REINFORCED2_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_2_GUN_FIRE_NAME,Огненная пушка,Огненная пушка
STONEMECH_2_GUN_FIRE_DESCRIPTION,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%
STONEMECH_2_GUN_FIRE_UNCOMMON_NAME,Улучшенная огненная пушка,Улучшенная огненная пушка
STONEMECH_2_GUN_FIRE_UNCOMMON_DESCRIPTION,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%
STONEMECH_2_GUN_FIRE_EXCELLENT_NAME,Превосходная огненная пушка,Превосходная огненная пушка
STONEMECH_2_GUN_FIRE_EXCELLENT_DESCRIPTION,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%
STONEMECH_2_GUN_FIRE_MYTHICAL_NAME,Мифическая огненная пушка,Мифическая огненная пушка
STONEMECH_2_GUN_FIRE_MYTHICAL_DESCRIPTION,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%
STONEMECH_2_GUN_FIRE_MAGNIFICENT_NAME,Великолепная огненная пушка,Великолепная огненная пушка
STONEMECH_2_GUN_FIRE_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} огненного урона/nШанс крита {{critical_chance}}%
STONEMECH_3_GUN_REINFORCED_NAME,Усиленная пушка,Усиленная пушка
STONEMECH_3_GUN_REINFORCED_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_3_GUN_REINFORCED_UNCOMMON_NAME,Улучшенная усиленная пушка,Улучшенная усиленная пушка
STONEMECH_3_GUN_REINFORCED_UNCOMMON_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_3_GUN_REINFORCED_EXCELLENT_NAME,Превосходная усиленная пушка,Превосходная усиленная пушка
STONEMECH_3_GUN_REINFORCED_EXCELLENT_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_3_GUN_REINFORCED_MYTHICAL_NAME,Мифическая усиленная пушка,Мифическая усиленная пушка
STONEMECH_3_GUN_REINFORCED_MYTHICAL_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_3_GUN_REINFORCED_MAGNIFICENT_NAME,Великолепная усиленная пушка,Великолепная усиленная пушка
STONEMECH_3_GUN_REINFORCED_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_4_GUN_COLD_NAME,Морозная пушка,Морозная пушка
STONEMECH_4_GUN_COLD_DESCRIPTION,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%
STONEMECH_4_GUN_COLD_UNCOMMON_NAME,Улучшенная морозная пушка,Улучшенная морозная пушка
STONEMECH_4_GUN_COLD_UNCOMMON_DESCRIPTION,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%
STONEMECH_4_GUN_COLD_EXCELLENT_NAME,Превосходная морозная пушка,Превосходная морозная пушка
STONEMECH_4_GUN_COLD_EXCELLENT_DESCRIPTION,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%
STONEMECH_4_GUN_COLD_MYTHICAL_NAME,Мифическая морозная пушка,Мифическая морозная пушка
STONEMECH_4_GUN_COLD_MYTHICAL_DESCRIPTION,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%
STONEMECH_4_GUN_COLD_MAGNIFICENT_NAME,Великолепная морозная пушка,Великолепная морозная пушка
STONEMECH_4_GUN_COLD_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом./nШанс крита {{critical_chance}}%
STONEMECH_5_GUN_REINFORCED2_NAME,Сильно усиленная пушка,Сильно усиленная пушка
STONEMECH_5_GUN_REINFORCED2_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_5_GUN_REINFORCED2_UNCOMMON_NAME,Улучшенная сильно усиленная пушка,Улучшенная сильно усиленная пушка
STONEMECH_5_GUN_REINFORCED2_UNCOMMON_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_5_GUN_REINFORCED2_EXCELLENT_NAME,Превосходная сильно усиленная пушка,Превосходная сильно усиленная пушка
STONEMECH_5_GUN_REINFORCED2_EXCELLENT_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_5_GUN_REINFORCED2_MYTHICAL_NAME,Мифическая сильно усиленная пушка,Мифическая сильно усиленная пушка
STONEMECH_5_GUN_REINFORCED2_MYTHICAL_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_5_GUN_REINFORCED2_MAGNIFICENT_NAME,Великолепная сильно усиленная пушка,Великолепная сильно усиленная пушка
STONEMECH_5_GUN_REINFORCED2_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%,Наносит {{damage}} урона/nШанс крита {{critical_chance}}%
STONEMECH_4_MACE2_ELECTRIC_NAME,Электрическая булава,Электрическая булава
STONEMECH_4_MACE2_ELECTRIC_DESCRIPTION,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_4_MACE2_ELECTRIC_UNCOMMON_NAME,Улучшенная электрическая булава,Улучшенная электрическая булава
STONEMECH_4_MACE2_ELECTRIC_UNCOMMON_DESCRIPTION,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_4_MACE2_ELECTRIC_EXCELLENT_NAME,Превосходная электрическая булава,Превосходная электрическая булава
STONEMECH_4_MACE2_ELECTRIC_EXCELLENT_DESCRIPTION,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_4_MACE2_ELECTRIC_MYTHICAL_NAME,Мифическая электрическая булава,Мифическая электрическая булава
STONEMECH_4_MACE2_ELECTRIC_MYTHICAL_DESCRIPTION,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_4_MACE2_ELECTRIC_MAGNIFICENT_NAME,Великолепная электрическая булава,Великолепная электрическая булава
STONEMECH_4_MACE2_ELECTRIC_MAGNIFICENT_DESCRIPTION,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{electro_effect_chance}}% шанс нанести продолжительный электрический эффект противнику. /nНаносит {{damage}} Электрического урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_5_MACE2_ACID_NAME,Кислотная дубина,Кислотная дубина
STONEMECH_5_MACE2_ACID_DESCRIPTION,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_5_MACE2_ACID_UNCOMMON_NAME,Улучшенная кислотная дубина,Улучшенная кислотная дубина
STONEMECH_5_MACE2_ACID_UNCOMMON_DESCRIPTION,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_5_MACE2_ACID_EXCELLENT_NAME,Превосходная кислотная дубина,Превосходная кислотная дубина
STONEMECH_5_MACE2_ACID_EXCELLENT_DESCRIPTION,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_5_MACE2_ACID_MYTHICAL_NAME,Мифическая кислотная дубина,Мифическая кислотная дубина
STONEMECH_5_MACE2_ACID_MYTHICAL_DESCRIPTION,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_5_MACE2_ACID_MAGNIFICENT_NAME,Великолепная кислотная дубина,Великолепная кислотная дубина
STONEMECH_5_MACE2_ACID_MAGNIFICENT_DESCRIPTION,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Есть {{acid_effect_chance}}% шанс нанести противнику продолжительный кислотный урон. /nНаносит {{damage}} урона кислотой. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%
STONEMECH_4_SWORD_COLD_NAME,Каменный меч мороза,Каменный меч мороза
STONEMECH_4_SWORD_COLD_DESCRIPTION,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_4_SWORD_COLD_UNCOMMON_NAME,Улучшенный каменный меч мороза,Улучшенный каменный меч мороза
STONEMECH_4_SWORD_COLD_UNCOMMON_DESCRIPTION,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_4_SWORD_COLD_EXCELLENT_NAME,Превосходный каменный меч мороза,Превосходный каменный меч мороза
STONEMECH_4_SWORD_COLD_EXCELLENT_DESCRIPTION,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_4_SWORD_COLD_MYTHICAL_NAME,Мифический каменный меч мороза,Мифический каменный меч мороза
STONEMECH_4_SWORD_COLD_MYTHICAL_DESCRIPTION,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_4_SWORD_COLD_MAGNIFICENT_NAME,Великолепный каменный меч мороза,Великолепный каменный меч мороза
STONEMECH_4_SWORD_COLD_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона холодом c шансом {{frost_effect_chance}}% вызвать у противника обморожение./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_5_SWORD_ELECTRIC_NAME,Каменный меч Зевса,Каменный меч Зевса
STONEMECH_5_SWORD_ELECTRIC_DESCRIPTION,Наносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_5_SWORD_ELECTRIC_UNCOMMON_NAME,Улучшенный каменный меч Зевса,Улучшенный каменный меч Зевса
STONEMECH_5_SWORD_ELECTRIC_UNCOMMON_DESCRIPTION,Наносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_5_SWORD_ELECTRIC_EXCELLENT_NAME,Превосходный каменный меч Зевса,Превосходный каменный меч Зевса
STONEMECH_5_SWORD_ELECTRIC_EXCELLENT_DESCRIPTION,Наносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_5_SWORD_ELECTRIC_MYTHICAL_NAME,Мифический каменный меч Зевса,Мифический каменный меч Зевса
STONEMECH_5_SWORD_ELECTRIC_MYTHICAL_DESCRIPTION,Наносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,Наносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
STONEMECH_5_SWORD_ELECTRIC_MAGNIFICENT_NAME,Великолепный каменный меч Зевса,Великолепный каменный меч Зевса
STONEMECH_5_SWORD_ELECTRIC_MAGNIFICENT_DESCRIPTION,каменный меч Зевса/nНаносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%,каменный меч Зевса/nНаносит {{damage}} урона электричеством c шансом {{electro_effect_chance}}% нанести противнику дополнительно длительный эффект урона электричеством./nСильным ударом оглушает противников с вероятность 60%./nШанс крита {{critical_chance}}%
IRONMECH_2_SAW_FIRE_NAME,Огнерез,Огнерез
IRONMECH_2_SAW_FIRE_DESCRIPTION,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.
IRONMECH_2_SAW_FIRE_UNCOMMON_NAME,Улучшенный Огнерез,Улучшенный Огнерез
IRONMECH_2_SAW_FIRE_UNCOMMON_DESCRIPTION,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.
IRONMECH_2_SAW_FIRE_EXCELLENT_NAME,Превосходный Огнерез,Превосходный Огнерез
IRONMECH_2_SAW_FIRE_EXCELLENT_DESCRIPTION,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.
IRONMECH_2_SAW_FIRE_MYTHICAL_NAME,Мифический Огнерез,Мифический Огнерез
IRONMECH_2_SAW_FIRE_MYTHICAL_DESCRIPTION,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.
IRONMECH_2_SAW_FIRE_MAGNIFICENT_NAME,Великолепный Огнерез,Великолепный Огнерез
IRONMECH_2_SAW_FIRE_MAGNIFICENT_DESCRIPTION,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.,Модифицирован на нанесение {{damage}} огненного урона. Имеет 20% шанс поджечь противника.
IRONMECH_3_SAW_ACID_NAME,Кислотный резак,Кислотный резак
IRONMECH_3_SAW_ACID_DESCRIPTION,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%
IRONMECH_3_SAW_ACID_UNCOMMON_NAME,Улучшенный кислотный резак,Улучшенный кислотный резак
IRONMECH_3_SAW_ACID_UNCOMMON_DESCRIPTION,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%
IRONMECH_3_SAW_ACID_EXCELLENT_NAME,Превосходный кислотный резак,Превосходный кислотный резак
IRONMECH_3_SAW_ACID_EXCELLENT_DESCRIPTION,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%
IRONMECH_3_SAW_ACID_MYTHICAL_NAME,Мифический кислотный резак,Мифический кислотный резак
IRONMECH_3_SAW_ACID_MYTHICAL_DESCRIPTION,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%
IRONMECH_3_SAW_ACID_MAGNIFICENT_NAME,Великолепный кислотный резак,Великолепный кислотный резак
IRONMECH_3_SAW_ACID_MAGNIFICENT_DESCRIPTION,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%,Эксперименты с кислотой дали свои плоды. Это оружие наносит кислотный урон!/n{{acid_effect_chance}}% шанс отравить противника. /nНаносит {{damage}} урона кислотой/nШанс крита {{critical_chance}}%
IRONMECH_5_SAW_REINFORCED_NAME,Железная пила “Разрезатель”,Железная пила “Разрезатель”
IRONMECH_5_SAW_REINFORCED_DESCRIPTION,"Это лучшее, можно было сотворить с обычной циркулярной пилой. /n фантастическая эффективность! /n{{damage}} урона","Это лучшее, можно было сотворить с обычной циркулярной пилой. /n фантастическая эффективность! /n{{damage}} урона"
IRONMECH_5_SAW_REINFORCED_UNCOMMON_NAME,Улучшенная железная пила “Разрезатель”,Улучшенная железная пила “Разрезатель”
IRONMECH_5_SAW_REINFORCED_UNCOMMON_DESCRIPTION,"“Разрезатель” - это лучшее, можно было сотворить с обычной циркулярной пилой. /n фантастическая эффективность! /nНаносит {{damage}} урона/nШанс крита {{critical_chance}}%","“Разрезатель” - это лучшее, можно было сотворить с обычной циркулярной пилой. /n фантастическая эффективность! /nНаносит {{damage}} урона/nШанс крита {{critical_chance}}%"
