sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
073_start_node1,"I would particularly like any orange chips you would find in the wreckage. We don't know what they do, but whatever: they make nice jewelry. My wife and daughter want them, and I get them whatever they want, or else they make my life miserable.","I would particularly like any orange chips you would find in the wreckage. We don't know what they do, but whatever: they make nice jewelry. My wife and daughter want them, and I get them whatever they want, or else they make my life miserable."
073_start_transition0_1,Er...thanks?,Er...thanks?
073_start_transition1_1,[snarl] I begrudgingly accept.,[snarl] I begrudgingly accept.
073_finish_node0,"Skubs the Junk Dealer: You're back? You got the chips? But how were you not killed by creatures or traps on the... Uhh, best not to dwell on things which did not happen.","Skubs the Junk Dealer: You're back? You got the chips? But how were you not killed by creatures or traps on the... Uhh, best not to dwell on things which did not happen."
073_finish_node1,"Me? No, nothing, nothing at all! Nice work! You appear to be quite resourceful and dangerous. In fact, you're making me a little nervous. Thanks for doing the quest -- you've done [x} out of 3 -- now move along.","Me? No, nothing, nothing at all! Nice work! You appear to be quite resourceful and dangerous. In fact, you're making me a little nervous. Thanks for doing the quest -- you've done [x} out of 3 -- now move along."
073_finish_transition0_1,Wait a second. I thought these missions were supposed to be EASY and NOT AT ALL DANGEROUS. What are you trying to pull?,Wait a second. I thought these missions were supposed to be EASY and NOT AT ALL DANGEROUS. What are you trying to pull?
073_finish_transition1_1,"[snort, look mean] That's right, I'm tougher than tough.","[snort, look mean] That's right, I'm tougher than tough."
080_start_node0,"Sklisk the Vivisector: Well hello there, you must be the hu-man who is so intelligent and crafty that he can do what the rats cannot. Very interesting! If you have the belly for it, I have a job for you.","Sklisk the Vivisector: Well hello there, you must be the hu-man who is so intelligent and crafty that he can do what the rats cannot. Very interesting! If you have the belly for it, I have a job for you."
080_start_node1,"Well, shall we say, human, that there are sometimes things -- scientifically speaking -- that must be done, but not everyone thinks that the lengths we must go to are justified. They say it's too cruel. But I look at you: a hard look to your eye, a hard heart in your chest, and I know you are the one to help me.","Well, shall we say, human, that there are sometimes things -- scientifically speaking -- that must be done, but not everyone thinks that the lengths we must go to are justified. They say it's too cruel. But I look at you: a hard look to your eye, a hard heart in your chest, and I know you are the one to help me."
080_start_node2,"Sure, sure. I can say that with absolute unquestionable certainty because >ahem< I am the supreme leader of the Vermafia. I just like to work anonymously in my lab. It relaxes me. Anyway, we're working on a serum to give the rats great strength in battle. Forbidden Strength! And the source of all this strength? Snow leopards. Specifically, their hearts.","Sure, sure. I can say that with absolute unquestionable certainty because >ahem< I am the supreme leader of the Vermafia. I just like to work anonymously in my lab. It relaxes me. Anyway, we're working on a serum to give the rats great strength in battle. Forbidden Strength! And the source of all this strength? Snow leopards. Specifically, their hearts."
080_start_node3,"Yep. Kill 'em, chop out their hearts, stick 'em in a sack and bring 'em back to me, dripping and bloody. You in or out, human?","Yep. Kill 'em, chop out their hearts, stick 'em in a sack and bring 'em back to me, dripping and bloody. You in or out, human?"
080_start_transition0_1,The belly for it? What kind of job is this?,The belly for it? What kind of job is this?
080_start_transition1_1,"Er, right. Grr. Snarl. That's me. So if I do this I earn the respect of the Rats, right?","Er, right. Grr. Snarl. That's me. So if I do this I earn the respect of the Rats, right?"
080_start_transition2_1,Their ...hearts?,Their ...hearts?
080_start_transition3_1,"Uuuhhgghghh. That sounds disgusting, but I'll do it to fool y-- I mean, to earn your trust.","Uuuhhgghghh. That sounds disgusting, but I'll do it to fool y-- I mean, to earn your trust."
080_finish_node0,"Ahh, human, you are back. Do you have all the hearts? Bloody and disgusting?","Ahh, human, you are back. Do you have all the hearts? Bloody and disgusting?"
080_finish_node1,"Ye-es, so they are. Very disgusting! These will work nicely for the serum, my hard-hearted human friend. I know you must have enjoyed this on some level.","Ye-es, so they are. Very disgusting! These will work nicely for the serum, my hard-hearted human friend. I know you must have enjoyed this on some level."
080_finish_transition0_1,">sigh< Yes, here they’re.",">sigh< Yes, here they’re."
080_finish_transition1_1,"Ugh. I mean, oh, yes. Grr. Kill. Murder. That's me.","Ugh. I mean, oh, yes. Grr. Kill. Murder. That's me."
081_start_node0,"Sklisk the Vivisector: Human! You are back. Excellent. We have finished the strength serum, and now we are testing it.","Sklisk the Vivisector: Human! You are back. Excellent. We have finished the strength serum, and now we are testing it."
081_start_node1,"Well, human, obviously we have to test it on stupid creatures who have no sense of pain and have no personality of their own. And because humans are scarce, we use trolls. So now we have a troll who is doped to the gills on our snow leopard serum, and he is so strong that we can't handle him. We need him alive, but can you get in your armor and knock the fight out of him?","Well, human, obviously we have to test it on stupid creatures who have no sense of pain and have no personality of their own. And because humans are scarce, we use trolls. So now we have a troll who is doped to the gills on our snow leopard serum, and he is so strong that we can't handle him. We need him alive, but can you get in your armor and knock the fight out of him?"
081_start_transition0_1,"Oh, right! That makes sense. You want to make sure it's safe, so you first test it on some lab raaaa-- uhhhh, heh heh. Never mind. So what do you do?","Oh, right! That makes sense. You want to make sure it's safe, so you first test it on some lab raaaa-- uhhhh, heh heh. Never mind. So what do you do?"
081_start_transition1_1,"Uh... okay. Because as you know, I am merciless and tough. >sigh< So I guess I'll go beat on this poor troll.","Uh... okay. Because as you know, I am merciless and tough. >sigh< So I guess I'll go beat on this poor troll."
081_start_transition1_2,Uphh. I changed my mind! Bye!,Uphh. I changed my mind! Bye!
081_finish_node0,"Ex-cellent! Even though you destroyed our test troll, we have gotten a great deal of scientific knowledge out of watching the battle. And of course, I know you enjoyed bashing him around.","Ex-cellent! Even though you destroyed our test troll, we have gotten a great deal of scientific knowledge out of watching the battle. And of course, I know you enjoyed bashing him around."
081_finish_node1,"Hmm. Sounds as if your heart is not in it, human. Never mind, I must just be imagining things. You have accomplished much with the Rats-- I mean, my subjects. That's [x] out of 3 tasks you've completed. Well done.","Hmm. Sounds as if your heart is not in it, human. Never mind, I must just be imagining things. You have accomplished much with the Rats-- I mean, my subjects. That's [x] out of 3 tasks you've completed. Well done."
081_finish_transition0_1,">sigh< Oh, yes, I just can't get enough of hurting other creatures.",">sigh< Oh, yes, I just can't get enough of hurting other creatures."
081_finish_transition1_1,"Okay, thanks. I guess I'm off to do something else terrible.","Okay, thanks. I guess I'm off to do something else terrible."
082_start_node0,"Skoss the Strategist: Ho there, Armored Warrior! Word around the camp is that you are helping the rats with some tasks! Ho ho! I could use your skills as well! I'm the leader of a small group of rats who are--- >ahem< Sorry, I misspoke. I am the leader of ALL of the Rats, here and everywhere. I just like working on military raids like some anonymous underling. Anyway, one of my many, many responsibilities is a small group of scouts who have ventured into the desert and lost contact. I need you to find them. Can you do it, Armored Warrior?","Skoss the Strategist: Ho there, Armored Warrior! Word around the camp is that you are helping the rats with some tasks! Ho ho! I could use your skills as well! I'm the leader of a small group of rats who are--- >ahem< Sorry, I misspoke. I am the leader of ALL of the Rats, here and everywhere. I just like working on military raids like some anonymous underling. Anyway, one of my many, many responsibilities is a small group of scouts who have ventured into the desert and lost contact. I need you to find them. Can you do it, Armored Warrior?"
082_start_node1,"Doesn't look that way, son, but don't be sad! Maybe something will come up!","Doesn't look that way, son, but don't be sad! Maybe something will come up!"
082_start_transition0_1,"Sounds better than some of the other ones. I don't have to kill anyone, do I?","Sounds better than some of the other ones. I don't have to kill anyone, do I?"
082_start_transition1_1,"Sure, okay.","Sure, okay."
082_finish_node0,"Skoss the Strategist: Ah, good, good! Never leave a man behind, that's our motto, unless he's already served his purpose or takes up too many resources. You've brought back my loyal scouts. I, the leader of all the Rats, salute you.","Skoss the Strategist: Ah, good, good! Never leave a man behind, that's our motto, unless he's already served his purpose or takes up too many resources. You've brought back my loyal scouts. I, the leader of all the Rats, salute you."
082_finish_node1,"Ah, then you've brought back a sorry group of traitors. Nevertheless, you have proven yourselves to the Rats, and as Supreme Leader, I grant you full access! You may move about our encampment without restriction. And if any other rat claims to be leader, well... just play along.","Ah, then you've brought back a sorry group of traitors. Nevertheless, you have proven yourselves to the Rats, and as Supreme Leader, I grant you full access! You may move about our encampment without restriction. And if any other rat claims to be leader, well... just play along."
082_finish_transition0_1,"Thanks! Oh, and one of them claims that HE is the leader of all the rats.","Thanks! Oh, and one of them claims that HE is the leader of all the rats."
082_finish_transition1_1,Thanks!,Thanks!
083_start_node0,"I-- I can't believe it! It must be a mirage! Those ungrateful slobs back at headquarters actually sent someone to find us! I can't believe they even bothered to care about us lowly scou-- Er, I mean me, the supreme leader of all the Rats.","I-- I can't believe it! It must be a mirage! Those ungrateful slobs back at headquarters actually sent someone to find us! I can't believe they even bothered to care about us lowly scou-- Er, I mean me, the supreme leader of all the Rats."
083_start_node1,"Look, we could argue all day about who's the leader of who, but we're dying of thirst out here, and we're being attacked by Gnarks. You probably saw a couple of those filthy beasts on the way out. So listen. We're exhausted and can't move, but if you could fill our canteens at the oasis, we'd recover. Hurry, human!","Look, we could argue all day about who's the leader of who, but we're dying of thirst out here, and we're being attacked by Gnarks. You probably saw a couple of those filthy beasts on the way out. So listen. We're exhausted and can't move, but if you could fill our canteens at the oasis, we'd recover. Hurry, human!"
083_start_transition0_1,"Hmm. Your BOSS sent me to find you, Mr. ""Supreme Leader"".","Hmm. Your BOSS sent me to find you, Mr. ""Supreme Leader""."
083_start_transition1_1,"Gotcha, ""Boss"". Back in a flash.","Gotcha, ""Boss"". Back in a flash."
083_finish_node0,>wheeze< THERE he is! What took you so long? Are you trying to torture me?,>wheeze< THERE he is! What took you so long? Are you trying to torture me?
083_finish_node1,*gulping water* Ahhh. I see now that being dehydrated made me a little testy with you. I deeply apologize.,*gulping water* Ahhh. I see now that being dehydrated made me a little testy with you. I deeply apologize.
083_finish_node2,"As Supreme Leader, I take back your sentence of being burned at the stake. You are a free man now.","As Supreme Leader, I take back your sentence of being burned at the stake. You are a free man now."
083_finish_transition0_1,"Here you go, and you're welcome.","Here you go, and you're welcome."
083_finish_transition1_1,"Well, that's okay, I--","Well, that's okay, I--"
083_finish_transition2_1,Thanks a bunch.,Thanks a bunch.
084_start_node0,"Okay, now that we've had a drink, we should be ready to go! Hup hup! *groans, falls over* Ooohh, I was wrong. I feel terrible still. Why must this happen to the wise and powerful leader of all the rats?! Why, cruel hand of fate, WHY??","Okay, now that we've had a drink, we should be ready to go! Hup hup! *groans, falls over* Ooohh, I was wrong. I feel terrible still. Why must this happen to the wise and powerful leader of all the rats?! Why, cruel hand of fate, WHY??"
084_start_node1,"You have saved our lives. We are in your debt. Truly, you might even receive an extra bowl of gruel at mealtime tonight.","You have saved our lives. We are in your debt. Truly, you might even receive an extra bowl of gruel at mealtime tonight."
084_start_transition0_1,Okay. Climb in.,Okay. Climb in.
084_start_transition1_1,I take that as a great compliment.,I take that as a great compliment.
084_finish_node0,"The Supreme Leader lives to lead again! Due to my shrewd wisdom and unflagging determination, we have made it out of danger. Also had a tiny bit of help from (mumble, mumble) this guy over here.","The Supreme Leader lives to lead again! Due to my shrewd wisdom and unflagging determination, we have made it out of danger. Also had a tiny bit of help from (mumble, mumble) this guy over here."
084_finish_transition0_1,"No problem, friend.","No problem, friend."
074_start_node0,"Well, well, well! So this is the hu-man, is it? He don't look so tough, do he, boys? >hic< I hear you been asking around for stuff to do. Heck, we got work for ya if you think you can handle it, ya soft-skin baby-face!","Well, well, well! So this is the hu-man, is it? He don't look so tough, do he, boys? >hic< I hear you been asking around for stuff to do. Heck, we got work for ya if you think you can handle it, ya soft-skin baby-face!"
074_start_node1,"Ohhh! Well, ain't he something! Okay, tough guy, put away your dainty little teacups, because this here's a DRINKIN' CONTEST. You got to drink our special home-made brew, then you got to out-battle our TWO toughest fighters. You think you can hold your own, kid?","Ohhh! Well, ain't he something! Okay, tough guy, put away your dainty little teacups, because this here's a DRINKIN' CONTEST. You got to drink our special home-made brew, then you got to out-battle our TWO toughest fighters. You think you can hold your own, kid?"
074_start_transition0_1,"I can handle whatever you dish out, Rats. I'm as tough as they come.","I can handle whatever you dish out, Rats. I'm as tough as they come."
074_start_transition1_1,"[crack knuckles] Personally, I'm parched. Let's get this started.","[crack knuckles] Personally, I'm parched. Let's get this started."
074_finish_node0,You’re not so weak as you might seem to at first sight.,You’re not so weak as you might seem to at first sight.
074_finish_node1,"In any case, you were good! Want another job?","In any case, you were good! Want another job?"
074_finish_transition0_1,"Aha... I train hard when nobody sees me. What’s more, I have giant robots.","Aha... I train hard when nobody sees me. What’s more, I have giant robots."
074_finish_transition1_1,Why not?,Why not?
075_start_node0,"Well, you're as tough as you say, it seems. Listen, human, maybe we can use you. We have a plantation where we grow all the crops we need for our secret brew, but some critter keeps wrecking the place, stealin' supplies, and stomping plants.","Well, you're as tough as you say, it seems. Listen, human, maybe we can use you. We have a plantation where we grow all the crops we need for our secret brew, but some critter keeps wrecking the place, stealin' supplies, and stomping plants."
075_start_node1,"Yeah, we thought about it long and hard and really examined the evidence. Our best guess is some kind of giant drunk monster. The guard over at the plantation will know more, but I stand by our extremely edjamacated guess.","Yeah, we thought about it long and hard and really examined the evidence. Our best guess is some kind of giant drunk monster. The guard over at the plantation will know more, but I stand by our extremely edjamacated guess."
075_start_transition0_1,Who do you think it is? Got any suspects?,Who do you think it is? Got any suspects?
075_start_transition1_1,Drunk Monster. Okay. This is worth checking out just to prove you wrong.,Drunk Monster. Okay. This is worth checking out just to prove you wrong.
075_finish_node0,"Well, whoopty do. You're back. Did ya solve our theft problem?","Well, whoopty do. You're back. Did ya solve our theft problem?"
075_finish_node1,Nice work. You may make a good enforcer yet.,Nice work. You may make a good enforcer yet.
075_finish_node2,"Not a bad idea. I got a cousin who's looking for work. He drinks a bit too much, but that shouldn't be a problem, right?","Not a bad idea. I got a cousin who's looking for work. He drinks a bit too much, but that shouldn't be a problem, right?"
075_finish_transition0_1,You bet. I bested the beast in single combat and tore these horns right off his head. He cried like a little baby. >grunt<,You bet. I bested the beast in single combat and tore these horns right off his head. He cried like a little baby. >grunt<
075_finish_transition0_2,You may want to get a new guard. I think he's a bit on the unreliable side.,You may want to get a new guard. I think he's a bit on the unreliable side.
075_finish_transition0_3,You may want to get a new guard. I think he's a bit on the DEAD side.,You may want to get a new guard. I think he's a bit on the DEAD side.
075_finish_transition1_1,Thanks. Got anything else for me?,Thanks. Got anything else for me?
075_finish_transition2_1,"Uh, sure. Anyway, let me know if there's anything else I can do.","Uh, sure. Anyway, let me know if there's anything else I can do."
076_start_node0,I handle this plantation. What are you doing here? Who are you?,I handle this plantation. What are you doing here? Who are you?
076_start_node1,"Aha! Exactly! We have a thief here, and he or she steals berries at nights. Talk to the guard, he knows the details.","Aha! Exactly! We have a thief here, and he or she steals berries at nights. Talk to the guard, he knows the details."
076_start_transition0_1,I'm Zak. Head of butleggers  sent me to deal with your problems.,I'm Zak. Head of butleggers  sent me to deal with your problems.
076_start_transition1_1,OK,OK
076_plantation_guard_node0,"You there! Halt! Stay right--OHHH my head! Please, just go somewhere else. I'm guarding this plantation but I feel awful. So just please leave and bother someone else. I've got enough problems.","You there! Halt! Stay right--OHHH my head! Please, just go somewhere else. I'm guarding this plantation but I feel awful. So just please leave and bother someone else. I've got enough problems."
076_plantation_guard_node1,"Uh huh! Yeah, and if that weren't enough, I got my bosses all over my case because there's a GIANT DRUNK MONSTER WITH GLOWING HORNS that comes and wrecks this place every night!","Uh huh! Yeah, and if that weren't enough, I got my bosses all over my case because there's a GIANT DRUNK MONSTER WITH GLOWING HORNS that comes and wrecks this place every night!"
076_plantation_guard_node2,"Well, I didn't really see it. Uh, I uh, was kind of asleep when it showed up. Y'see, sometimes my head hurts a lot like it does right now, and I, heh, y'know, just need a little sip of the good stuff to make it go away.","Well, I didn't really see it. Uh, I uh, was kind of asleep when it showed up. Y'see, sometimes my head hurts a lot like it does right now, and I, heh, y'know, just need a little sip of the good stuff to make it go away."
076_plantation_guard_node3,"Maybe it was! What's it to you, human? I got a lousy job. I'm allowed a little something to keep the cold out.","Maybe it was! What's it to you, human? I got a lousy job. I'm allowed a little something to keep the cold out."
076_plantation_guard_node4,"Well, I'll let you in on a little secret. I'm actually the leader of all the Rats. I just do this job because of all the perks, like staying up all night and doing a little drinking.","Well, I'll let you in on a little secret. I'm actually the leader of all the Rats. I just do this job because of all the perks, like staying up all night and doing a little drinking."
076_plantation_guard_node5,"Whoa, how'd you know?","Whoa, how'd you know?"
076_plantation_guard_transition0_1,What's the matter? Are you sick?,What's the matter? Are you sick?
076_plantation_guard_transition0_2,"Oh yeah? Let me guess, you're also the leader of all the Rats.","Oh yeah? Let me guess, you're also the leader of all the Rats."
076_plantation_guard_transition1_1,Huh. You don't say. Did you see it?,Huh. You don't say. Did you see it?
076_plantation_guard_transition1_2,Sounds like you're not doing such a great job of guarding.,Sounds like you're not doing such a great job of guarding.
076_plantation_guard_transition2_1,It's got to be more of a sip if it's putting you to sleep.,It's got to be more of a sip if it's putting you to sleep.
076_plantation_guard_transition2_2,Sounds like your bosses might have a good reason to be irritated with you.,Sounds like your bosses might have a good reason to be irritated with you.
076_plantation_guard_transition3_1,"Okay, well, your bosses sent me to investigate, so I'll start looking around for this GIANT DRUNK MONSTER WITH GLOWING HORNS.","Okay, well, your bosses sent me to investigate, so I'll start looking around for this GIANT DRUNK MONSTER WITH GLOWING HORNS."
076_plantation_guard_transition4_1,"Sounds a lot more like ""doing a little drinking"" than ""staying up all night.""","Sounds a lot more like ""doing a little drinking"" than ""staying up all night."""
076_plantation_guard_transition5_1,"Just a guess. And hey, maybe it's the stress of leadership is making you feel terrible.","Just a guess. And hey, maybe it's the stress of leadership is making you feel terrible."
076_dungeon_attack_node0,Go away! Or I’ll kill you!,Go away! Or I’ll kill you!
076_dungeon_attack_node1,As you were!,As you were!
076_dungeon_attack_transition0_1,"No, you won’t!","No, you won’t!"
076_dungeon_attack_transition1_1,*get ready to fight*,*get ready to fight*
076_under_door_node0,*Your path is blocked by a sturdy wooden door*,*Your path is blocked by a sturdy wooden door*
076_under_door_node1,*Nope.*,*Nope.*
076_under_door_transition0_1,*kick it as hard as you can*,*kick it as hard as you can*
076_under_door_transition0_2,*use the key*,*use the key*
076_under_door_transition0_3,*leave empty-handed*,*leave empty-handed*
076_under_door_transition1_1,"Ouch, my foot. That door is too hard. I need a key.","Ouch, my foot. That door is too hard. I need a key."
076_dungeon_attack2_node0,"[While looking around, you find a crammed into a crack in the rock] ""Hey stupid, if you're too drunk to remember where you put the stupid key, I'll give you a stupid hint. It's in one of these stupid chests. Love, Stupid.""","[While looking around, you find a crammed into a crack in the rock] ""Hey stupid, if you're too drunk to remember where you put the stupid key, I'll give you a stupid hint. It's in one of these stupid chests. Love, Stupid."""
076_dungeon_attack2_transition0_1,"That's... an interesting note. Okay, thanks, Mr. Stupid.","That's... an interesting note. Okay, thanks, Mr. Stupid."
076_retkin_thief_node0,"[You enter the room. The first thing you see are the glowing horns and a bunch of empty bottles. You hear a noise behind you, and it is the guard you spoke to earlier.] Guard: S-so you found it.","[You enter the room. The first thing you see are the glowing horns and a bunch of empty bottles. You hear a noise behind you, and it is the guard you spoke to earlier.] Guard: S-so you found it."
076_retkin_thief_node1,"L-listen. I just GOTTA have those drinks every night, or else I get so sick I can't do my job. A-and I needed a cover story, so that my bosses -- I-I mean wait, I'm the leader... Oh, never mind -- so that my bosses wouldn't get mad. So wait, maybe we can make a deal. I'm going to stop, I swear, so why don't you take these horns back and tell them you killed the monster. Right? No harm done.","L-listen. I just GOTTA have those drinks every night, or else I get so sick I can't do my job. A-and I needed a cover story, so that my bosses -- I-I mean wait, I'm the leader... Oh, never mind -- so that my bosses wouldn't get mad. So wait, maybe we can make a deal. I'm going to stop, I swear, so why don't you take these horns back and tell them you killed the monster. Right? No harm done."
076_retkin_thief_node2,"N-no, I will! Uh, wait, maybe I can give you some of the money. Did I tell you I also, um, accidentally stole some money?","N-no, I will! Uh, wait, maybe I can give you some of the money. Did I tell you I also, um, accidentally stole some money?"
076_retkin_thief_node3,Wh-what? No! You can't do that! I'll lose my livelihood! What am I supposed to do? You're a monster! How dare you??,Wh-what? No! You can't do that! I'll lose my livelihood! What am I supposed to do? You're a monster! How dare you??
076_retkin_thief_node4,">sniff< Maybe. I dunno. I'm NOT smart, I'm stupid. I even have to leave myself notes because I'm so stupid that I forget things. The only thing I've ever been good at was making up little stories like the DRUNK MONSTER WITH GLOWING HORNS and that... say, that wouldn't be such a bad job. Thanks, human, I'll do that!",">sniff< Maybe. I dunno. I'm NOT smart, I'm stupid. I even have to leave myself notes because I'm so stupid that I forget things. The only thing I've ever been good at was making up little stories like the DRUNK MONSTER WITH GLOWING HORNS and that... say, that wouldn't be such a bad job. Thanks, human, I'll do that!"
076_retkin_thief_transition0_1,What? YOU'RE the one behind all the stealing?,What? YOU'RE the one behind all the stealing?
076_retkin_thief_transition1_1,I don't know about this. I don't think you're really going to quit.,I don't know about this. I don't think you're really going to quit.
076_retkin_thief_transition1_2,Seems like I should just tell them the truth and then they can hire someone who will do their job properly.,Seems like I should just tell them the truth and then they can hire someone who will do their job properly.
076_retkin_thief_transition2_1,">sigh< All right, fork it over. And the horns. I'll tell them your little cover story.",">sigh< All right, fork it over. And the horns. I'll tell them your little cover story."
076_retkin_thief_transition3_1,"Not my problem, pal. [fight]","Not my problem, pal. [fight]"
076_retkin_thief_transition3_2,Hold on a minute. Is this really what you want? Don't you think a smart guy like you could do better than stealing from his work and staying drunk all the time?,Hold on a minute. Is this really what you want? Don't you think a smart guy like you could do better than stealing from his work and staying drunk all the time?
076_retkin_thief_transition4_1,"Well, no problem. Good luck!","Well, no problem. Good luck!"
076_finish_node0,Amazing! How fast you solved our problem!,Amazing! How fast you solved our problem!
076_finish_node1,"Take the reward, friend. Come to visit us. Maybe I’ll have other job for you. You’re always welcome here.","Take the reward, friend. Come to visit us. Maybe I’ll have other job for you. You’re always welcome here."
076_finish_transition0_1,It’s nothing but deduction.,It’s nothing but deduction.
076_finish_transition1_1,OK! I’ll pay a visit later.,OK! I’ll pay a visit later.
077_start_node0,I got one last thing for ya. I'll let you in on a little secret. I'm actually the Supreme Leader of all the Rats. That means I got some high-level trading going on with some very secret types. Types you don't even want to know about.,I got one last thing for ya. I'll let you in on a little secret. I'm actually the Supreme Leader of all the Rats. That means I got some high-level trading going on with some very secret types. Types you don't even want to know about.
077_start_node1,"What? No! There are no other-- Listen, don't get smart with me, robot-man. These secret types need a secret potion for their secret activities. Now, we Rats are pretty good at making regular hooch, but the fancy stuff? We leave to the stupid fancy foxes. There's a shaman out a ways in the woods. Go talk to her and get the goods. You want to be in good with us Rats, right?","What? No! There are no other-- Listen, don't get smart with me, robot-man. These secret types need a secret potion for their secret activities. Now, we Rats are pretty good at making regular hooch, but the fancy stuff? We leave to the stupid fancy foxes. There's a shaman out a ways in the woods. Go talk to her and get the goods. You want to be in good with us Rats, right?"
077_start_transition0_1,Okay. Are they the OTHER Supreme Leaders of the Rats?,Okay. Are they the OTHER Supreme Leaders of the Rats?
077_start_transition1_1,"Yep. All right, I'm on it.","Yep. All right, I'm on it."
077_fox_simple_node0,What do you want?,What do you want?
077_fox_simple_node1,"No, I was going to be an accountant, you know... I don’t know anything about potions... But I know one shaman. Go and see her.","No, I was going to be an accountant, you know... I don’t know anything about potions... But I know one shaman. Go and see her."
077_fox_simple_node2,"You know what... If you need any help with any calculations, let me know.","You know what... If you need any help with any calculations, let me know."
077_fox_simple_transition0_1,I need the recipe of the trance potion. Have you heard of it?,I need the recipe of the trance potion. Have you heard of it?
077_fox_simple_transition1_1,Thanks!,Thanks!
077_fox_simple_transition2_1,I will!,I will!
077_finish_node0,"Oh, well, here he comes again, crawling back. Did ya get the trance potions for our super secret clients who need them for super secret mystical enchantments?","Oh, well, here he comes again, crawling back. Did ya get the trance potions for our super secret clients who need them for super secret mystical enchantments?"
077_finish_node1,All right! Trance potions all around. Bottoms up! Let's get TRANCED!,All right! Trance potions all around. Bottoms up! Let's get TRANCED!
077_finish_transition0_1,"Yeah, I got 'em.","Yeah, I got 'em."
077_finish_transition1_1,Um. So... I guess we're done here.,Um. So... I guess we're done here.
078_start_node0,[The fox is in a trance],[The fox is in a trance]
078_start_node1,">Snrrk?< Wh-whazzat? Oh. Yeah, I'm a shaman. So what's the deal? I was doing important work on the astral plane, man.",">Snrrk?< Wh-whazzat? Oh. Yeah, I'm a shaman. So what's the deal? I was doing important work on the astral plane, man."
078_start_node2,"Friends, huh? Cool, cool. I think I know who you're talking about. Well, I don't deal in money, man. That's just a false system! What I need is a favor, instead. You okay with that?","Friends, huh? Cool, cool. I think I know who you're talking about. Well, I don't deal in money, man. That's just a false system! What I need is a favor, instead. You okay with that?"
078_start_node3,"Cool, cool. No big deal, friend. It's just that I've got, like all these cocoons lying around that are, like, making it really hard to meditate, man. It's kind of a mess. Can you smash 'em, and like, clean that up?","Cool, cool. No big deal, friend. It's just that I've got, like all these cocoons lying around that are, like, making it really hard to meditate, man. It's kind of a mess. Can you smash 'em, and like, clean that up?"
078_start_transition0_1,Uh... excuse me? I'm looking for a shaman around here. Hello? Are you awake?,Uh... excuse me? I'm looking for a shaman around here. Hello? Are you awake?
078_start_transition1_1,"Oh, uh, sorry. I'm kind of in a rush, and I was wondering if I might be able to buy some trance potions from you. They're for some friends.","Oh, uh, sorry. I'm kind of in a rush, and I was wondering if I might be able to buy some trance potions from you. They're for some friends."
078_start_transition2_1,"Sure, I guess. Like I said, I'm in a hurry.","Sure, I guess. Like I said, I'm in a hurry."
078_start_transition3_1,"I guess. Okay, I'll be right back. Like I said, I'm in a rush. Money would be a lot easier!","I guess. Okay, I'll be right back. Like I said, I'm in a rush. Money would be a lot easier!"
078_finish_node0,"Whoa, thanks, man. That looks a lot better now. Much cleaner. Cool. I'm sure that whatever was metamorphosizing in there is, like, in a better place now, man.","Whoa, thanks, man. That looks a lot better now. Much cleaner. Cool. I'm sure that whatever was metamorphosizing in there is, like, in a better place now, man."
078_finish_node1,"Oh, yeah, well, sure, man, just maybe do one more thing. Like, my connection to the spirits has been a little shaky lately. Like a bad mystical connection, does that make sense?","Oh, yeah, well, sure, man, just maybe do one more thing. Like, my connection to the spirits has been a little shaky lately. Like a bad mystical connection, does that make sense?"
078_finish_node2,"No, man, my problem is purely mystical. Like, the motes of pure thought energy are, like, swirling at the wrong resonance, y'know? The pure light of love and harmony can't get through.","No, man, my problem is purely mystical. Like, the motes of pure thought energy are, like, swirling at the wrong resonance, y'know? The pure light of love and harmony can't get through."
078_finish_transition0_1,"Super. Can I get those trance potions? Like I said, I'm sort of in a hurry.","Super. Can I get those trance potions? Like I said, I'm sort of in a hurry."
078_finish_transition1_1,"Uh, yeah, actually, it does. I've got the same problem with my friend on the radio. Is yours because of the shards orbiting around at different speeds too?","Uh, yeah, actually, it does. I've got the same problem with my friend on the radio. Is yours because of the shards orbiting around at different speeds too?"
078_finish_transition2_1,"Yikes. Uh, okay. See you in a little while.","Yikes. Uh, okay. See you in a little while."
079_start_node0,There's a stupd golem who keeps wrecking my mystical receiver. Can ya go kill it and bring me back its heart?,There's a stupd golem who keeps wrecking my mystical receiver. Can ya go kill it and bring me back its heart?
079_start_transition0_1,Okay,Okay
079_finish_node0,"*wakes up from trance, opens one eye* Oh wow, man, you're back! Did you accomplish your mission, and bring peace and harmony to the spirit world?","*wakes up from trance, opens one eye* Oh wow, man, you're back! Did you accomplish your mission, and bring peace and harmony to the spirit world?"
079_finish_node1,"Oh, yeah, right, I got my missions mixed up. Yeah, hand over that heart, man. Oh, and here are your trance potions.","Oh, yeah, right, I got my missions mixed up. Yeah, hand over that heart, man. Oh, and here are your trance potions."
079_finish_node2,"One more thing, man. Sounds to me like your reception problem might be bigger than just the orbit of the shards, y'know? Maybe you made this friend mad at some point. I dunno, just somethin' to think about, man.","One more thing, man. Sounds to me like your reception problem might be bigger than just the orbit of the shards, y'know? Maybe you made this friend mad at some point. I dunno, just somethin' to think about, man."
